left,bottom,right,top,xpath
300,1553,500,1443,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]
300,1553,500,1443,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]
300,1473,500,1443,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[1]
300,1473,469,1443,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[1]/A[1]
300,1473,469,1443,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[1]/A[1]/text()[1]
300,1493,500,1478,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[2]
300,1493,425,1478,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[2]/A[1]
300,1493,425,1478,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[2]/A[1]/text()[1]
300,1513,500,1498,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[3]
300,1513,387,1498,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[3]/A[1]
300,1513,387,1498,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[3]/A[1]/text()[1]
300,1533,500,1518,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[4]
300,1533,435,1518,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[4]/A[1]
300,1533,435,1518,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[4]/A[1]/text()[1]
300,1553,500,1538,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[5]
300,1553,411,1538,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[5]/A[1]
300,1553,411,1538,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[5]/A[1]/text()[1]
295,1609,505,1583,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[7]
295,1604,347,1588,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[7]/text()[1]
300,1819,500,1624,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]
300,1819,500,1624,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]
300,1819,500,1624,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]
300,1654,500,1624,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[1]
300,1654,497,1624,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[1]/A[1]
300,1654,497,1624,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[1]/A[1]/text()[1]
300,1689,500,1659,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[2]
300,1689,497,1659,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[2]/A[1]
300,1689,497,1659,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[2]/A[1]/text()[1]
300,1724,500,1694,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[3]
300,1724,497,1694,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[3]/A[1]
300,1724,497,1694,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[3]/A[1]/text()[1]
300,1759,500,1729,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[4]
300,1759,499,1729,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[4]/A[1]
300,1759,499,1729,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[4]/A[1]/text()[1]
300,1779,500,1764,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[5]
300,1779,489,1764,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[5]/A[1]
300,1779,489,1764,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[5]/A[1]/text()[1]
300,1799,500,1784,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[6]
300,1799,465,1784,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[6]/A[1]
300,1799,465,1784,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[6]/A[1]/text()[1]
300,1819,500,1804,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[7]
300,1819,489,1804,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[7]/A[1]
300,1819,489,1804,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[7]/A[1]/text()[1]
295,1875,505,1849,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[8]
295,1870,386,1854,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[8]/text()[1]
300,2066,500,1890,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]
300,2066,500,1890,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]
300,2009,500,1890,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[1]
300,2009,394,1890,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[1]/IMG[1]
300,2066,500,2009,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[2]
300,2026,412,2011,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[2]/text()[1]
300,2064,497,2030,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[2]/text()[2]
295,2122,505,2096,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[9]
295,2117,321,2101,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[9]/text()[1]
300,2296,500,2137,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]
300,2296,500,2137,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]
300,2296,500,2137,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]
300,2296,500,2137,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]
300,2167,500,2137,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]
338,2158,356,2143,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/A[1]
338,2158,356,2143,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/A[1]/text()[1]
356,2158,444,2143,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/text()[1]
444,2158,462,2143,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/A[2]
444,2158,462,2143,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/A[2]/text()[1]
300,2296,500,2167,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]
300,2189,500,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]
302,2189,328,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[1]
309,2186,321,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[1]/text()[1]
330,2189,356,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[2]
337,2186,349,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[2]/text()[1]
358,2189,384,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[3]
365,2186,377,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[3]/text()[1]
386,2189,412,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[4]
393,2186,405,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[4]/text()[1]
414,2189,440,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[5]
421,2186,433,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[5]/text()[1]
442,2189,469,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[6]
450,2186,462,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[6]/text()[1]
471,2189,498,2169,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[7]
479,2186,491,2171,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[7]/text()[1]
300,2210,500,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]
302,2210,328,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]
312,2208,318,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/text()[1]
330,2210,356,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]
340,2208,346,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]/text()[1]
358,2210,384,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]
368,2208,374,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/text()[1]
386,2210,412,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[4]
395,2208,403,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[4]/text()[1]
414,2210,440,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[5]
423,2208,431,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[5]/text()[1]
442,2210,469,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[6]
451,2208,460,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[6]/A[1]
451,2208,460,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[6]/A[1]/text()[1]
471,2210,498,2191,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[7]
481,2208,488,2193,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[7]/text()[1]
300,2231,500,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]
302,2231,328,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]
311,2229,319,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/text()[1]
330,2231,356,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[2]
339,2229,347,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[2]/text()[1]
358,2231,384,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[3]
367,2229,375,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/text()[1]
386,2231,412,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[4]
395,2229,403,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[4]/text()[1]
414,2231,440,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[5]
423,2229,431,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[5]/text()[1]
442,2231,469,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[6]
448,2229,463,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[6]/text()[1]
471,2231,498,2212,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[7]
477,2229,492,2214,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[7]/text()[1]
300,2252,500,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]
302,2252,328,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[1]
307,2250,323,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[1]/text()[1]
330,2252,356,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]
335,2250,351,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/text()[1]
358,2252,384,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]
363,2250,379,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/text()[1]
386,2252,412,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[4]
391,2250,407,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[4]/text()[1]
414,2252,440,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[5]
419,2250,435,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[5]/text()[1]
442,2252,469,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[6]
448,2250,463,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[6]/text()[1]
471,2252,498,2233,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[7]
477,2250,492,2235,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[7]/text()[1]
300,2273,500,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]
302,2273,328,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[1]
307,2271,323,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[1]/text()[1]
330,2273,356,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]
335,2271,351,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]/text()[1]
358,2273,384,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[3]
363,2271,379,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[3]/text()[1]
386,2273,412,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[4]
391,2271,407,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[4]/text()[1]
414,2273,440,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[5]
419,2271,435,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[5]/text()[1]
442,2273,469,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[6]
448,2271,463,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[6]/text()[1]
471,2273,498,2254,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[7]
477,2271,492,2256,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[7]/text()[1]
300,2294,500,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]
302,2294,328,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[1]
307,2292,323,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[1]/text()[1]
330,2294,356,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[2]
335,2292,351,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[2]/text()[1]
358,2294,384,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]
363,2292,379,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/text()[1]
386,2294,412,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[4]
391,2292,407,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[4]/text()[1]
414,2294,440,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[5]
419,2292,435,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[5]/text()[1]
442,2294,469,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[6]
448,2292,463,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[6]/text()[1]
471,2294,498,2275,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[7]
482,2292,487,2277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[7]/text()[1]
295,2352,505,2326,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[10]
295,2347,347,2331,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[10]/text()[1]
300,2382,500,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]
300,2382,500,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]
300,2382,500,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]
300,2385,355,2370,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]
300,2385,355,2370,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]
300,2385,355,2370,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]/NOBR[1]
300,2382,311,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]/NOBR[1]/IMG[1]
311,2382,322,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]/NOBR[1]/IMG[2]
322,2382,333,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]/NOBR[1]/IMG[3]
333,2382,344,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]/NOBR[1]/IMG[4]
344,2382,355,2367,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[10]/DIV[2]/DIV[1]/A[1]/SPAN[1]/NOBR[1]/IMG[5]
295,2438,505,2412,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[11]
295,2433,386,2417,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[11]/text()[1]
300,2472,500,2453,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[11]
300,2472,500,2453,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[11]/DIV[2]
300,2472,500,2453,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[11]/DIV[2]/P[1]
300,2470,420,2455,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[11]/DIV[2]/P[1]/A[1]
300,2470,420,2455,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[11]/DIV[2]/P[1]/A[1]/text()[1]
270,5590,1080,5540,/HTML[1]/BODY[1]/DIV[5]
270,5574,1080,5540,/HTML[1]/BODY[1]/DIV[5]/DIV[1]
455,5563,871,5550,/HTML[1]/BODY[1]/DIV[5]/DIV[1]/text()[1]
